X,Y,Elevation,Distance
110406.58709999919,563895.8022000007,12.530400000003283,0
110421.41440000013,563891.3889000006,11.195300000006682,0.015470499999995809
110436.24170000106,563886.9756999984,10.278999999994994,0.03094090000000142
110451.0689000003,563882.5623999983,11.205799999996088,0.04641120000000228
110465.89620000124,563878.1491999999,10.822199999995064,0.06188169999999809
110480.72349999845,563873.7358999997,10.479000000006636,0.0773521000000037
110495.55079999939,563869.3225999996,8.748099999997066,0.0928225999999995
110510.37810000032,563864.9094000012,7.212299999999232,0.10829300000000512
110525.20529999956,563860.496100001,5.236600000003818,0.12376339999999618
110540.0326000005,563856.0828999989,4.592399999994086,0.1392338000000018
110554.85990000144,563851.6695999987,4.347299999993993,0.1547042999999976
110569.68719999865,563847.2564000003,3.9853000000002794,0.1701747000000032
110584.51449999958,563842.8431000002,5.821800000005169,0.18564509999999426
110599.34169999883,563838.4298,5.258499999996275,0.2011154999999999
110614.16899999976,563834.0166000016,5.436600000000908,0.2165859000000055
110628.9963000007,563829.6033000015,5.815000000002328,0.2320564000000013
110643.82360000163,563825.1900999993,5.0975000000034925,0.2475268000000069
110658.65089999884,563820.7767999992,5.206999999994878,0.2629973000000027
110673.47810000181,563816.363499999,5.716700000004494,0.2784676000000036
110688.30539999902,563811.9503000006,6.174599999998463,0.29393809999999937
110703.13269999996,563807.5370000005,5.764699999999721,0.309408500000005
110717.9600000009,563803.1237999983,5.9011999999929685,0.3248788999999961
110732.78720000014,563798.7104999982,6.304000000003725,0.3403493000000017
110747.61450000107,563794.2972000018,5.975500000000466,0.35581979999999747
110762.44179999828,563789.8839999996,7.491800000003423,0.3712902000000031
110777.26909999922,563785.4706999995,10.886700000002747,0.3867605999999942
110792.09640000015,563781.057500001,7.448699999993551,0.4022311000000045
110806.9235999994,563776.6442000009,6.169099999999162,0.4177014000000054
110821.75090000033,563772.2309000008,5.823600000003353,0.43317190000000116
110836.57820000127,563767.8176999986,5.87050000000454,0.4486423000000068
110851.40549999848,563763.4043999985,5.345199999996112,0.4641128000000026
110866.23279999942,563758.9912,5.35229999999865,0.47958319999999366
110881.05999999866,563754.5778999999,5.3193000000028405,0.49505359999999926
110895.8872999996,563750.1647000015,5.191500000000815,0.5105240000000049
110910.71460000053,563745.7514000013,4.7017999999952735,0.5259945000000007
110925.54190000147,563741.3381000012,4.281199999997625,0.5414649000000064
110940.36919999868,563736.924899999,4.133199999996577,0.5569352999999974
110955.19640000165,563732.5115999989,4.216400000004796,0.572405700000003
110970.02369999886,563728.0984000005,4.2814999999973224,0.587876099999994
110984.85099999979,563723.6851000004,4.274999999994179,0.6033466000000044
110999.67830000073,563719.2718000002,4.334900000001653,0.6188169999999955
111014.50560000166,563714.8586000018,4.4033999999955995,0.6342875000000058
111029.3328000009,563710.4453000017,4.456999999994878,0.6497578000000067
111044.16010000184,563706.0320999995,4.55109999999695,0.6652283000000024
111058.98739999905,563701.6187999994,4.565300000002026,0.6806986999999936
111073.81469999999,563697.2054999992,4.521200000002864,0.6961692000000039
111088.64200000092,563692.7923000008,4.603099999992992,0.7116395999999949
111103.46920000017,563688.3790000007,4.63300000000163,0.7271100000000006
111118.2965000011,563683.9657999985,4.711200000005192,0.7425804000000062
111133.12379999831,563679.5524999984,5.096499999999651,0.7580507999999972
111147.95109999925,563675.1392999999,5.35899999999674,0.7735212999999931
111162.77840000018,563670.7259999998,5.1885999999940395,0.7889916999999986
111177.60559999943,563666.3126999997,5.279399999999441,0.8044621000000043
111192.43290000036,563661.8995000012,5.912500000005821,0.8199324999999953
111207.2602000013,563657.4862000011,5.688699999998789,0.8354030000000057
111222.08749999851,563653.0729999989,5.599199999996927,0.8508733999999968
111236.91479999945,563648.6596999988,5.399300000004587,0.8663439000000072
111251.74199999869,563644.2463999987,5.531700000006822,0.8818141999999934
111266.56929999962,563639.8332000002,5.905799999993178,0.8972845999999991
111281.39660000056,563635.4199000001,6.002299999992829,0.9127550999999948
111296.2239000015,563631.0067000017,6.961200000005192,0.9282255000000005
111311.05110000074,563626.5934000015,8.413799999994808,0.943695900000006
111325.87840000167,563622.1801000014,6.184699999997974,0.9591662999999971
111340.70569999889,563617.7668999992,6.290099999998347,0.974636799999993
111355.53299999982,563613.3535999991,10.098800000007031,0.9901071999999985
111370.36030000076,563608.9404000007,9.800199999997858,1.0055776999999944
111385.1875,563604.5271000005,6.57390000000305,1.0210479999999953
111400.01480000094,563600.1138000004,5.948300000003655,1.0365185000000057
111414.84209999815,563595.7005999982,5.409799999993993,1.0519888999999967
111429.66939999908,563591.2873000018,4.829400000002352,1.067459400000007
111444.49670000002,563586.8740999997,4.663000000000466,1.082929799999998
111459.32389999926,563582.4607999995,4.616599999993923,1.098400099999999
111474.1512000002,563578.0476000011,5.605500000005122,1.1138705999999947
111488.97850000113,563573.634300001,5.225399999995716,1.1293410000000004
111503.80579999834,563569.2210000008,4.840299999996205,1.144811499999996
111518.63309999928,563564.8077999987,4.634200000000419,1.1602819000000018
111533.46029999852,563560.3944999985,4.619699999995646,1.1757522999999928
111548.28759999946,563555.9813000001,4.490699999994831,1.1912226999999984
111563.1149000004,563551.568,4.283299999995506,1.2066931999999944
111577.94220000133,563547.1546999998,4.247799999997369,1.2221635999999998
111592.76949999854,563542.7415000014,4.076000000000931,1.2376340000000055
111607.59670000151,563538.3282000013,3.9689000000071246,1.2531043999999965
111622.42399999872,563533.9149999991,3.955199999996694,1.2685748000000021
111637.25129999965,563529.501699999,4.069600000002538,1.284045299999998
111652.07860000059,563525.0883999988,4.3571999999985565,1.2995157000000035
